state,state fips,county,county code,commodity,data item,domain category,2017,2012,2007,2002,1997
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED,,"799,627","813,583","869,534","884,831",
US TOTAL,99,,,HAY & HAYLAGE,HAY & HAYLAGE - ACRES HARVESTED,,"56,858,622","55,775,162","61,455,483","64,041,337",
US TOTAL,99,,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS",,"140,229,237","127,345,016","155,393,762","154,976,932",
US TOTAL,99,,,RICE,RICE - OPERATIONS WITH AREA HARVESTED,,"4,637","5,591","6,084","8,046","9,627"
US TOTAL,99,,,RICE,RICE - ACRES HARVESTED,,"2,395,054","2,693,759","2,758,792","3,197,641","3,161,576"
US TOTAL,99,,,RICE,"RICE - PRODUCTION, MEASURED IN CWT",,"176,274,671","200,239,288","198,538,690","210,358,014","184,412,536"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - OPERATIONS WITH AREA HARVESTED,,"3,389","4,953","6,403","7,506","11,176"
US TOTAL,99,,,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,,"1,324,030","1,877,145","2,000,153","1,833,435","2,559,990"
US TOTAL,99,,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN LB",,"2,086,855,236","2,728,794,260","2,820,962,445","2,042,510,240","3,218,848,621"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - OPERATIONS WITH AREA HARVESTED,,"3,496","3,913","4,022","5,027","7,057"
US TOTAL,99,,,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,,"1,150,682","1,249,481","1,253,817","1,365,769","1,449,819"
US TOTAL,99,,,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",,"35,488,911","35,417,494","31,937,325","27,793,126","29,740,760"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - OPERATIONS WITH AREA HARVESTED",,627,666,692,953,"1,079"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - ACRES HARVESTED",,"843,454",(D),"846,666","978,393","890,193"
US TOTAL,99,,,SUGARCANE,"SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS",,"30,949,944","30,269,684","31,127,405","35,319,767","31,986,258"
US TOTAL,99,,,PEANUTS,PEANUTS - OPERATIONS WITH AREA HARVESTED,,"6,379","6,561","6,182","8,640","12,788"
US TOTAL,99,,,PEANUTS,PEANUTS - ACRES HARVESTED,,"1,786,767","1,621,631","1,200,564","1,223,093","1,377,097"
US TOTAL,99,,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",,"7,114,985,199","6,660,492,899","3,703,138,887","3,137,586,781","3,434,648,039"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - OPERATIONS WITH AREA HARVESTED",,"74,276","72,045","69,172","54,391","60,631"
US TOTAL,99,,,VEGETABLE TOTALS,"VEGETABLE TOTALS, IN THE OPEN - ACRES HARVESTED",,"4,365,149","4,492,086","4,682,588","3,698,744","3,906,983"
US TOTAL,99,,,POTATOES,POTATOES - OPERATIONS WITH AREA HARVESTED,,"16,554","21,079","15,014","9,408","11,649"
US TOTAL,99,,,POTATOES,POTATOES - ACRES HARVESTED,,"1,133,128","1,168,199","1,131,963","1,266,087","1,372,458"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - OPERATIONS WITH AREA HARVESTED,,"4,798","2,202","1,910","2,366","1,976"
US TOTAL,99,,,SWEET POTATOES,SWEET POTATOES - ACRES HARVESTED,,"172,983","125,726","105,284","92,310","80,953"
US TOTAL,99,,,ORCHARDS,ORCHARDS - OPERATIONS WITH AREA BEARING & NON-BEARING,,"111,955","106,488","115,935","113,649","123,420"
US TOTAL,99,,,ORCHARDS,ORCHARDS - ACRES BEARING & NON-BEARING,,"5,665,600","5,199,729","5,039,476","5,330,439","5,349,292"
